ts_ms,open,high,low,close
1780272000000,312.01,312.01,309.99,310.04
1780272900000,310.27,310.97,310.04,310.97
1780273800000,310.94,311.21,310.79,311.03
1780274700000,311.03,311.14,310.59,310.68
1780275600000,310.65,310.73,310.25,310.25
1780276500000,310.35,310.57,310.33,310.38
1780277400000,310.39,310.42,310.28,310.34
1780278300000,310.32,310.34,310.17,310.17
1780279200000,310.23,310.37,310.23,310.27
1780280100000,310.28,310.32,310.18,310.22
1780281000000,310.21,310.41,310.18,310.29
1780281900000,310.29,310.82,310.23,310.6
1780282800000,310.66,310.8,309.99,309.99
1780283700000,310.08,310.24,310.01,310.18
1780284600000,310.21,310.74,310.21,310.29
1780285500000,310.21,310.78,310.13,310.13
1780286400000,310.16,310.28,310.01,310.04
1780287300000,310.04,310.17,310.02,310.03
1780288200000,310.1,310.24,309.99,310.04
1780289100000,310.04,310.08,310.01,310.01
1780290000000,310.02,310.04,309.9,309.9
1780290900000,309.95,309.95,309.87,309.88
1780291800000,309.87,309.87,309.62,309.65
1780292700000,309.7,310.13,309.7,310.06
1780293600000,310.06,310.17,310.01,310.13
1780294500000,310.14,310.17,310.08,310.16
1780295400000,310.17,310.29,310.04,310.08
1780296300000,310.1,310.26,310.1,310.26
1780297200000,310.19,310.27,310.09,310.1
1780298100000,310.09,310.2,309.8,309.91
1780299000000,309.85,309.85,309.6,309.85
1780299900000,309.84,309.98,309.69,309.69
1780300800000,310.07,311.375,309.895,310.07
1780301700000,309.81,310.09,309.59,309.59
1780302600000,310.088,310.15,309.89,309.95
1780303500000,309.9,310.295,309.855,310.09
1780304400000,310.37,310.37,310.135,310.37
1780305300000,310.22,310.3,309.675,310.22
1780306200000,310.18,310.333,309.696,310.18
1780307100000,310.195,310.195,309.831,309.831
1780308000000,309.83,309.905,309.725,309.765
1780308900000,309.82,309.934,309.29,309.29
1780309800000,309.45,309.803,309.32,309.77
1780310700000,309.12,309.751,309.12,309.28
1780311600000,309.69,309.896,309.335,309.7
1780312500000,309.98,310.207,309.801,310
1780313400000,310.025,310.025,309.585,309.67
1780314300000,309.65,309.925,309.6,309.6
1780315200000,309.74,310.38,309.6,310.34
1780316100000,310.53,310.575,310.257,310.55
1780317000000,310.02,310.535,309.859,310.44
1780317900000,310.61,311.08,310.305,311.08
1780318800000,310.88,311.58,310.624,311.39
1780319700000,310.56,310.952,309.03,309.03
1780320600000,309.59,310.93,308.56,309.5
1780321500000,309.54,310.595,309.16,310.055
1780322400000,310.05,310.24,309.13,309.71
1780323300000,309.7,310.11,307.83,307.84
1780324200000,307.84,308.455,307.41,307.44
1780325100000,306.949,307.12,306.56,306.921
1780326000000,306.99,307.54,306.36,306.751
1780326900000,306.763,307.08,306.46,306.563
1780327800000,306.55,307.24,306.525,306.805
1780328700000,306.802,307.03,306.46,306.84
1780329600000,306.84,306.94,306.08,306.135
1780330500000,306.05,306.23,305.49,305.735
1780331400000,305.736,306.16,305.66,306.067
1780332300000,306.067,306.525,305.9,306.2
1780333200000,306.207,306.209,305.04,305.753
1780334100000,305.751,306.51,305.25,306.361
1780335000000,306.55,308.01,306.32,307.814
1780335900000,307.812,308.37,307.56,307.768
1780336800000,307.767,307.78,307.29,307.47
1780337700000,307.464,307.94,307.375,307.867
1780338600000,307.864,308.31,307.605,307.851
1780339500000,307.859,307.99,307.35,307.571
1780340400000,307.52,308.05,307.48,307.607
1780341300000,307.596,307.951,307.36,307.421
1780342200000,307.44,308.01,307.35,307.72
1780343100000,307.719,307.82,305.9,306.283
1780344000000,306.285,306.544,306.138,306.395
1780344900000,306.395,306.395,306.077,306.161
1780345800000,306.161,306.21,306,306.17
1780346700000,306.17,306.788,306.075,306.701
1780347600000,306.7,306.7,306.405,306.7
1780348500000,306.7,306.7,306.335,306.39
1780349400000,306.39,306.39,306.346,306.365
1780350300000,306.365,306.365,306.155,306.21
1780351200000,306.21,306.28,305.64,305.834
1780352100000,305.829,305.899,305.53,305.645
1780353000000,305.643,305.919,305.641,305.703
1780353900000,305.702,305.75,305.575,305.65
1780354800000,305.65,306,305.65,305.985
1780355700000,305.985,305.985,305.69,305.695
1780356600000,305.695,305.93,305.6,305.704
1780357500000,305.704,305.724,305.38,305.46
1780358400000,308.69,308.69,305.01,305.46
1780359300000,305.26,305.66,305.11,305.49
1780360200000,305.44,305.51,305,305.28
1780361100000,305.28,305.58,305.28,305.38
1780362000000,305.44,305.56,305.31,305.46
1780362900000,305.46,305.57,305.39,305.39
1780363800000,305.41,305.56,305.35,305.54
1780364700000,305.51,305.51,304.94,304.94
1780365600000,304.95,305.5,304.89,305.46
1780366500000,305.35,305.59,305.29,305.5
1780367400000,305.48,305.51,305.41,305.49
1780368300000,305.49,305.5,305.38,305.4
1780369200000,305.4,305.48,305.36,305.38
1780370100000,305.41,305.51,305.18,305.2
1780371000000,305.21,305.59,305.19,305.59
1780371900000,305.54,305.7,305.49,305.7
1780372800000,305.73,305.8,305.47,305.54
1780373700000,305.61,305.69,305.33,305.53
1780374600000,305.46,305.48,305.36,305.42
1780375500000,305.48,305.48,305,305.33
1780376400000,305.4,305.44,305,305.17
1780377300000,305.17,305.42,305.11,305.22
1780378200000,305.15,305.45,305.11,305.26
1780379100000,305.19,305.35,305.04,305.13
1780380000000,305.12,305.28,305.12,305.24
1780380900000,305.24,305.46,305.24,305.3
1780381800000,305.35,306.01,305.24,306.01
1780382700000,305.96,306.4,305.93,306.33
1780383600000,306.39,307.1,306.31,306.99
1780384500000,306.99,307.11,306.67,307.11
1780385400000,307.14,307.6,306.9,307.55
1780386300000,307.26,307.55,306.72,307.04
1780387200000,305.46,307.18,304.55,306.913
1780388100000,306.916,306.935,306.596,306.795
1780389000000,306.795,307.055,306.795,306.97
1780389900000,306.97,307.27,306.97,307.244
1780390800000,307.244,307.245,306.9,306.9
1780391700000,306.9,306.97,306.002,306.293
1780392600000,306.294,306.595,306.25,306.515
1780393500000,306.514,306.514,306.06,306.061
1780394400000,306.06,306.27,305.869,305.975
1780395300000,305.975,306.235,305.975,306.112
1780396200000,306.111,306.209,306.104,306.209
1780397100000,306.209,306.25,306.091,306.091
1780398000000,306.091,306.25,305.99,306.125
1780398900000,306.125,306.125,305.8,306.05
1780399800000,306.05,306.108,305.8,305.88
1780400700000,305.88,305.901,305.76,305.814
1780401600000,305.814,305.89,305.755,305.796
1780402500000,305.795,306.194,305.74,306.02
1780403400000,306.02,306.065,305.881,306.024
1780404300000,306.024,306.195,305.882,305.882
1780405200000,305.881,305.881,305.377,305.525
1780406100000,305.525,307.687,305.36,307.447
1780407000000,307.37,309.86,306.74,309.075
1780407900000,309.11,309.32,308.33,309.068
1780408800000,309.29,309.49,308.54,308.642
1780409700000,308.641,310.47,308.63,310.409
1780410600000,310.35,310.44,309.68,309.78
1780411500000,309.79,310.76,309.265,310.572
1780412400000,310.54,312.27,310.46,312.04
1780413300000,311.975,312.92,311.73,312.71
1780414200000,312.71,313.03,312.38,312.89
1780415100000,312.874,313.16,312.39,312.438
1780416000000,312.434,312.88,312.1,312.494
1780416900000,312.46,312.56,312.05,312.457
1780417800000,312.47,312.55,311.91,312.078
1780418700000,312.076,314.47,312.045,314.342
1780419600000,314.29,315.02,314.285,314.985
1780420500000,314.995,315.1,314.085,314.69
1780421400000,314.68,315.28,314.34,314.81
1780422300000,314.84,315.45,314.46,314.696
1780423200000,314.715,314.94,314.36,314.38
1780424100000,314.371,314.371,313.75,314.24
1780425000000,314.239,314.51,314.2,314.381
1780425900000,314.38,314.86,314.245,314.678
1780426800000,314.65,315.22,314.65,314.762
1780427700000,314.759,315.08,314.68,314.768
1780428600000,314.767,315.12,314.76,314.978
1780429500000,314.955,315.44,314.03,315.185
1780430400000,315.295,315.45,314.866,315.064
1780431300000,315.07,315.125,314.635,314.88
1780432200000,314.88,314.884,314.433,314.805
1780433100000,314.805,315,314.805,314.885
1780434000000,314.885,315.072,314.885,314.885
1780434900000,314.885,315.035,314.885,314.925
1780435800000,314.925,314.99,314.925,314.99
1780436700000,314.99,315,314.535,314.535
1780437600000,314.535,314.91,314.535,314.63
1780438500000,314.63,315.02,314.63,314.902
1780439400000,314.901,314.97,314.771,314.771
1780440300000,314.771,314.771,314.255,314.414
1780441200000,314.415,314.708,314.415,314.455
1780442100000,314.455,314.455,313.561,313.867
1780443000000,313.902,314.732,313.902,314.732
1780443900000,314.734,315.13,314.45,314.877
1780444800000,314.89,315.32,314.79,314.81
1780445700000,314.8,314.94,314.62,314.94
1780446600000,314.9,315.19,314.9,315.15
1780447500000,315.15,315.16,314.89,315.04
1780448400000,315.05,315.09,314.74,314.79
1780449300000,314.79,314.89,314.69,314.79
1780450200000,314.77,314.87,314.65,314.7
1780451100000,314.71,314.8,314.5,314.58
1780452000000,314.58,314.58,314.43,314.55
1780452900000,314.55,314.59,314.46,314.57
1780453800000,314.56,314.6,314.49,314.6
1780454700000,314.63,314.64,314.54,314.62
1780455600000,314.61,314.67,314.5,314.61
1780456500000,314.61,314.68,314.55,314.56
1780457400000,314.56,314.56,314.38,314.41
1780458300000,314.39,314.46,314.26,314.4
1780459200000,314.4,314.48,314.38,314.39
1780460100000,314.43,314.53,314.43,314.46
1780461000000,314.46,314.49,314.42,314.47
1780461900000,314.47,314.49,314.41,314.48
1780462800000,314.44,314.51,314.41,314.51
1780463700000,314.51,314.59,314.51,314.52
1780464600000,314.52,314.52,314.31,314.31
1780465500000,314.31,314.42,314.11,314.26
1780466400000,314.27,314.5,314.11,314.31
1780467300000,314.24,314.43,314.2,314.43
1780468200000,314.41,314.66,314.41,314.66
1780469100000,314.59,314.62,314.37,314.48
1780470000000,314.48,314.54,314.37,314.44
1780470900000,314.43,314.54,314.31,314.31
1780471800000,314.33,314.42,313.99,314.09
1780472700000,314.09,314.29,313.93,314.1
1780473600000,314.796,314.796,314.005,314.126
1780474500000,314.125,314.44,313.85,314.44
1780475400000,314.44,314.846,314.255,314.77
1780476300000,314.772,314.87,314.735,314.735
1780477200000,314.735,314.803,314.656,314.77
1780478100000,314.77,314.895,314.726,314.895
1780479000000,314.895,315.01,314.625,314.834
1780479900000,314.836,314.969,314.63,314.773
1780480800000,314.774,314.8,314.655,314.743
1780481700000,314.744,314.745,314.29,314.29
1780482600000,314.29,314.499,314.16,314.37
1780483500000,314.37,314.48,314.25,314.48
1780484400000,314.48,314.789,314.273,314.555
1780485300000,314.557,314.6,314.2,314.2
1780486200000,314.2,314.578,314.2,314.45
1780487100000,314.45,314.45,314.15,314.34
1780488000000,314.34,314.45,314.18,314.45
1780488900000,314.431,314.435,314.312,314.312
1780489800000,314.311,314.311,314,314.04
1780490700000,314.04,314.12,313.82,313.835
1780491600000,313.835,314.115,313.825,314
1780492500000,314,314.5,313.325,313.954
1780493400000,314.39,316.94,313.997,316.583
1780494300000,316.581,316.74,314.815,314.883
1780495200000,314.815,315.935,314.25,315.861
1780496100000,315.858,315.92,314.26,314.34
1780497000000,314.41,314.63,313.01,313.038
1780497900000,313.035,313.09,311.17,311.5
1780498800000,311.523,311.91,310.415,310.602
1780499700000,310.603,311.85,310.32,311.65
1780500600000,311.641,312.17,311.19,311.561
1780501500000,311.558,311.676,311.25,311.441
1780502400000,311.453,311.82,310.94,311.292
1780503300000,311.293,311.3,309.53,309.764
1780504200000,309.77,310.08,309.335,309.906
1780505100000,309.907,310.45,309.73,310.29
1780506000000,310.3,310.3,309.16,309.244
1780506900000,309.24,309.37,308.875,309.196
1780507800000,309.18,309.675,308.985,309.485
1780508700000,309.483,309.58,309.24,309.338
1780509600000,309.337,309.71,309.025,309.344
1780510500000,309.341,309.98,309.31,309.807
1780511400000,309.812,309.94,309.275,309.639
1780512300000,309.585,309.89,309.585,309.803
1780513200000,309.82,310,309.49,309.852
1780514100000,309.845,310.535,309.81,310.413
1780515000000,310.413,311.1,310.4,310.993
1780515900000,310.91,310.981,309.32,310.21
1780516800000,310.195,310.717,309.92,310.303
1780517700000,310.304,311.043,310.01,310.601
1780518600000,310.601,311.49,310.6,311.153
1780519500000,311.153,311.424,311.15,311.364
1780520400000,311.362,313.254,311.202,312.366
1780521300000,312.372,312.673,311.862,312.2
1780522200000,312.2,312.611,311.895,312.15
1780523100000,312.15,312.362,311.78,311.95
1780524000000,311.95,313.16,311.95,312.88
1780524900000,312.88,313.69,312.565,313.3
1780525800000,313.3,313.777,313.3,313.5
1780526700000,313.5,314.309,313.345,314.119
1780527600000,314.106,314.106,313.582,313.863
1780528500000,313.867,314.297,313.811,314.2
1780529400000,314.2,314.346,313.691,313.873
1780530300000,313.874,314.106,313.629,313.89
1780531200000,313.93,314.72,313.42,314.1
1780532100000,314.13,314.51,314.03,314.21
1780533000000,314.13,314.29,313.93,314.01
1780533900000,314.01,314.1,313.83,313.94
1780534800000,313.93,314,313.74,313.86
1780535700000,313.86,313.86,313.53,313.75
1780536600000,313.77,314.14,313.77,314.03
1780537500000,314.01,314.46,313.97,314.27
1780538400000,314.27,314.64,314.03,314.08
1780539300000,314.13,314.13,313.69,313.85
1780540200000,313.85,314.35,313.71,314.35
1780541100000,314.33,314.37,313.56,313.72
1780542000000,313.75,314.01,313.75,313.84
1780542900000,313.91,314.12,313.89,313.89
1780543800000,313.92,314.12,313.74,313.74
1780544700000,313.79,313.84,313.62,313.71
1780545600000,313.73,313.84,313.66,313.84
1780546500000,313.85,313.85,313.62,313.62
1780547400000,313.69,313.69,313.6,313.67
1780548300000,313.68,313.71,313.55,313.69
1780549200000,313.59,313.7,313.45,313.53
1780550100000,313.51,313.51,313.27,313.28
1780551000000,313.28,313.37,313.26,313.36
1780551900000,313.34,313.34,313.11,313.17
1780552800000,313.22,313.31,313.09,313.1
1780553700000,313.07,313.22,312.97,313.22
1780554600000,313.22,313.26,313.13,313.26
1780555500000,313.24,313.27,313.06,313.19
1780556400000,313.15,313.17,312.72,313.05
1780557300000,313.02,313.02,312.56,312.68
1780558200000,312.69,312.69,312.26,312.51
1780559100000,312.69,312.69,312.02,312.02
1780560000000,313.677,313.677,312.296,312.665
1780560900000,312.665,312.665,312.2,312.515
1780561800000,312.515,312.755,312.499,312.499
1780562700000,312.494,312.885,312.306,312.883
1780563600000,312.872,314.024,312.628,313.845
1780564500000,313.847,314.274,313.172,313.275
1780565400000,313.275,313.52,312.951,313.325
1780566300000,313.325,313.545,313.06,313.275
1780567200000,313.281,313.31,312.575,312.799
1780568100000,312.8,313.275,312.685,312.843
1780569000000,312.842,312.949,312.622,312.622
1780569900000,312.621,312.855,312.15,312.171
1780570800000,312.171,313.065,312.171,312.677
1780571700000,312.671,313.584,312.64,313.09
1780572600000,313.09,313.15,312.36,312.766
1780573500000,312.763,313.344,312.569,313.201
1780574400000,313.2,313.21,312.565,312.805
1780575300000,312.809,313,312.55,312.86
1780576200000,312.859,313.159,312.672,313.056
1780577100000,313.08,313.424,313.08,313.225
1780578000000,313.225,313.423,313.013,313.013
1780578900000,313.011,313.955,312.633,313.184
1780579800000,313.325,313.39,310.455,311.993
1780580700000,311.976,312.41,310.875,312.327
1780581600000,312.265,312.38,310.835,311.301
1780582500000,311.326,311.85,309.96,310.26
1780583400000,310.204,310.84,310.085,310.423
1780584300000,310.424,310.765,309.81,310.366
1780585200000,310.425,311.345,310.386,310.862
1780586100000,310.885,311.28,310.24,310.384
1780587000000,310.415,310.57,309.67,310.182
1780587900000,310.17,310.4,309.975,310.334
1780588800000,310.405,310.965,310.25,310.836
1780589700000,310.84,311.11,310.59,310.596
1780590600000,310.603,311.5,310.49,311.425
1780591500000,311.37,311.77,310.99,311.416
1780592400000,311.414,311.7,310.975,311.083
1780593300000,311.05,311.71,310.98,311.66
1780594200000,311.68,311.985,311.64,311.694
1780595100000,311.692,311.692,311.18,311.244
1780596000000,311.244,311.465,311,311.338
1780596900000,311.333,311.62,311.225,311.425
1780597800000,311.415,311.961,311.374,311.948
1780598700000,311.949,312,311.44,311.727
1780599600000,311.7,311.905,311.66,311.801
1780600500000,311.808,312.08,311.71,311.928
1780601400000,311.93,311.96,311.05,311.394
1780602300000,311.4,311.96,311.11,311.14
1780603200000,311.284,311.544,310.96,311.09
1780604100000,311.09,311.384,310.951,311.15
1780605000000,311.15,311.235,311,311.153
1780605900000,311.154,311.299,311.01,311.285
1780606800000,311.285,311.59,311.2,311.429
1780607700000,311.43,311.43,311.3,311.3
1780608600000,311.3,311.539,311.2,311.5
1780609500000,311.5,311.7,311.48,311.601
1780610400000,311.601,311.699,311.164,311.295
1780611300000,311.295,311.675,311.293,311.477
1780612200000,311.471,311.549,311.25,311.355
1780613100000,311.355,311.48,311.31,311.31
1780614000000,311.31,311.475,311.02,311.25
1780614900000,311.25,311.3,310.606,310.88
1780615800000,310.88,310.88,310.515,310.515
1780616700000,310.515,310.75,310.01,310.451
1780617600000,310.81,311.42,310.01,311.42
1780618500000,311.31,311.5,310.67,311.21
1780619400000,311.32,311.4,310.81,311.09
1780620300000,311.19,311.22,310.8,311.01
1780621200000,310.99,311.78,310.97,311.76
1780622100000,311.74,311.79,311.25,311.48
1780623000000,311.27,311.31,310.49,310.86
1780623900000,310.67,311,310.57,310.9
1780624800000,310.9,310.93,310.73,310.8
1780625700000,310.82,310.9,310.74,310.88
1780626600000,310.84,310.88,310.69,310.81
1780627500000,310.78,310.82,310.65,310.74
1780628400000,310.74,310.89,310.7,310.7
1780629300000,310.7,310.86,310.68,310.81
1780630200000,310.79,310.82,310.72,310.74
1780631100000,310.74,310.8,310.56,310.61
1780632000000,310.72,310.74,310.52,310.55
