ts_ms,open,high,low,close
1780272000000,517.6,518.09,514.21,516.85
1780272900000,516.61,516.69,508.29,510
1780273800000,510,510.13,505,508.13
1780274700000,508.26,509.18,507.59,508.36
1780275600000,508.55,509.64,507.22,509.64
1780276500000,509.83,511.99,509.83,511
1780277400000,510.84,510.98,508.49,510.98
1780278300000,510.99,512.48,510.6,511.6
1780279200000,511.62,512.9,511.62,512.8
1780280100000,512.89,512.94,512.1,512.5
1780281000000,512.47,514.29,512.11,514.04
1780281900000,513.63,514.29,513.49,513.8
1780282800000,513.88,514.29,513.5,513.5
1780283700000,513.51,514.1,513,513.72
1780284600000,513.91,514.3,513.24,513.41
1780285500000,513.44,513.61,512.99,513.06
1780286400000,513.06,513.76,512.1,512.42
1780287300000,512.55,512.55,511.59,511.78
1780288200000,511.74,511.77,510.62,511.5
1780289100000,511.34,511.5,510.49,510.52
1780290000000,510.52,510.8,510.07,510.25
1780290900000,510.19,511.64,509.99,511.12
1780291800000,511.69,512.95,511.69,512.75
1780292700000,512.89,513.27,512.74,512.76
1780293600000,512.9,513.75,512.79,512.99
1780294500000,512.76,513.01,511.89,512.3
1780295400000,512.26,513,512.16,512.19
1780296300000,512.19,512.93,512.19,512.64
1780297200000,512.83,512.99,511.88,511.94
1780298100000,511.92,511.97,510.49,510.64
1780299000000,510.64,511.01,509.68,510.41
1780299900000,510.47,511.07,510.02,510.8
1780300800000,509.28,510.8,501.42,502.07
1780301700000,502.01,503.5,495.61,495.99
1780302600000,496.01,501.83,495.6,499.01
1780303500000,502.5,502.9,498.35,502.5
1780304400000,497.41,500.5,495.01,496.01
1780305300000,495,497.71,490.02,491.01
1780306200000,492.05,495,491,491.29
1780307100000,491.99,495.63,491.95,493.49
1780308000000,492.55,495.6,490.5,492.55
1780308900000,492.68,493.1668,487.86,490.16
1780309800000,493.68,495.66,490.45,494.74
1780310700000,495.87,497,494,495.99
1780311600000,497.04,498.1158,492.82,493.79
1780312500000,493.79,495.88,493.25,494
1780313400000,497.91,498,494.58,497.49
1780314300000,496,498.6,495.25,498.01
1780315200000,498,499.85,495.67,496.49
1780316100000,496.49,498.06,495.32,497
1780317000000,496.79,499.1,493.97,497.46
1780317900000,497.7,498.4,496.6,497.21
1780318800000,497,497.34,492.01,493.69
1780319700000,494.72,500.01,493,497.23
1780320600000,500.185,504.8799,491,491.32
1780321500000,492.285,492.8,486.8,488.045
1780322400000,487.97,494.01,486.8,492.66
1780323300000,492.895,503.8599,491.87,501.82
1780324200000,501.43,508.25,500.99,506.18
1780325100000,506.38,509.9,503.53,508.94
1780326000000,509.55,513.29,507.71,513.005
1780326900000,513.1,516.225,511.51,513.44
1780327800000,513.87,517.5,512.49,513
1780328700000,513.14,513.725,509.6,509.89
1780329600000,510.48,512.4458,507.6615,508.3
1780330500000,508.125,508.26,506.99,507.44
1780331400000,507.31,509.6,507.01,507.74
1780332300000,507.74,510.8799,506.0654,509.09
1780333200000,509.11,509.82,506.51,509.06
1780334100000,510.05,512.33,508.99,512.26
1780335000000,512.28,513.65,510.23,511.78
1780335900000,511.735,513.98,511.3301,513.28
1780336800000,513.39,515.85,512.52,513.66
1780337700000,513.26,514.19,512.5201,513.47
1780338600000,513.54,513.98,511,511.78
1780339500000,511.78,513.9,511.59,512.45
1780340400000,512.53,513.8999,510.97,512.69
1780341300000,512.72,512.9918,511.2,512.21
1780342200000,512.03,512.73,510.24,510.6
1780343100000,510.54,512.36,508.96,510.04
1780344000000,509.4,510.13,508.53,508.63
1780344900000,508.71,509.6,508.6,508.71
1780345800000,508.64,508.98,508.3,508.63
1780346700000,508.34,510.7281,508.2,510.14
1780347600000,508.7595,509.5,508.6,508.68
1780348500000,508.5628,509.15,508.3776,509
1780349400000,510.01,512,508.8,510.98
1780350300000,510.5,511,509.3392,509.3392
1780351200000,507.01,509.25,506.01,507.01
1780352100000,506.49,507.6,506.49,506.49
1780353000000,505.66,506.7,505.5,505.66
1780353900000,505.96,506.25,505.44,505.97
1780354800000,506.26,506.7805,506.26,506.7805
1780355700000,506.01,506.7,506,506.48
1780356600000,506.41,506.8,506.2,506.678
1780357500000,506.79,507.106,506.12,506.79
1780358400000,506.9,507.1,502.19,502.73
1780359300000,502.61,503.31,500.43,502.25
1780360200000,502.93,504.1,501.99,502.01
1780361100000,502.2,502.41,501.1,501.39
1780362000000,501.54,503.41,501,503.41
1780362900000,503.26,503.56,501.49,501.51
1780363800000,501.63,502.14,500.57,501.01
1780364700000,500.81,501,498.88,499.56
1780365600000,499.54,499.8,497.33,498.51
1780366500000,498.84,500.52,498.42,500.01
1780367400000,500.3,502.99,500.29,502.74
