ts_ms,open,high,low,close
1780272000000,271.85,272,270.48,270.51
1780272900000,270.55,270.61,270.3,270.61
1780273800000,270.61,270.61,270.39,270.44
1780274700000,270.45,270.59,270.2,270.36
1780275600000,270.39,270.65,270.34,270.65
1780276500000,270.71,270.98,270.63,270.63
1780277400000,270.64,270.64,270.4,270.47
1780278300000,270.49,270.52,270.36,270.36
1780279200000,270.37,270.61,270.34,270.53
1780280100000,270.55,270.8,270.52,270.77
1780281000000,270.8,270.8,270.57,270.63
1780281900000,270.62,270.65,270.56,270.58
1780282800000,270.6,270.64,270.18,270.21
1780283700000,270.18,270.37,270.08,270.31
1780284600000,270.33,270.43,270.11,270.11
1780285500000,270.11,270.22,269.82,269.85
1780286400000,269.85,270.11,269.83,270.03
1780287300000,270.02,270.11,269.94,269.95
1780288200000,270,270.12,269.91,270.05
1780289100000,270.1,270.14,270.02,270.02
1780290000000,270.04,270.09,270,270.03
1780290900000,270.03,270.1,269.91,269.92
1780291800000,269.92,270.01,269.92,269.94
1780292700000,269.98,270.14,269.96,270.04
1780293600000,270.07,270.19,270.04,270.08
1780294500000,270.09,270.15,270.06,270.11
1780295400000,270.15,270.37,270.13,270.33
1780296300000,270.29,270.44,270.29,270.38
1780297200000,270.36,270.51,270.23,270.24
1780298100000,270.3,270.41,270.08,270.08
1780299000000,270.16,270.24,270.01,270.01
1780299900000,270.13,270.15,270,270.15
1780300800000,270.5,270.5,269.7,269.7
1780301700000,269.952,269.99,269.75,269.91
1780302600000,269.75,270.07,269.75,269.76
1780303500000,269.8,269.9,269.5,269.58
1780304400000,269.56,269.56,269.3,269.48
1780305300000,269.5,269.5,268.8,269
1780306200000,269.06,269.5,268.9,269.05
1780307100000,268.75,268.99,268.21,268.86
1780308000000,269.29,269.3885,268.75,269
1780308900000,269.1,269.1,268.99,269
1780309800000,269.12,269.36,269,269.12
1780310700000,269.09,269.68,269.09,269.09
1780311600000,269.04,269.4573,268.02,268.81
1780312500000,268.69,269.3759,268.6006,268.8
1780313400000,268.75,269.2,268.61,268.75
1780314300000,268.51,268.8,268.436,268.5
1780315200000,268.31,268.79,268,268.2
1780316100000,268.55,268.99,268.25,268.55
1780317000000,268.8,269,268.3,268.8
1780317900000,268.81,269,268.58,268.7675
1780318800000,268.2,268.64,267.58,268
1780319700000,267.95,268.05,265.75,265.99
1780320600000,266.3,266.63,262.31,262.84
1780321500000,262.885,265.2399,262.77,264.5
1780322400000,264.52,265.45,263.82,264.485
1780323300000,264.51,264.85,264.05,264.24
1780324200000,264.22,264.555,262.75,263.58
1780325100000,263.595,264.67,263.5201,264.64
1780326000000,264.64,264.75,263.845,264.075
1780326900000,264.07,264.3,263.43,264.03
1780327800000,264.055,264.645,264.04,264.23
1780328700000,264.24,264.95,263.28,263.6
1780329600000,263.74,264.635,262.41,262.67
1780330500000,262.61,262.97,261.5,262.61
1780331400000,262.88,263.67,262.17,262.245
1780332300000,262.25,262.685,261.83,262.13
1780333200000,262.12,262.12,261.21,261.33
1780334100000,261.33,261.945,260.7,261.93
1780335000000,261.9,262.29,261.32,261.81
1780335900000,261.845,262.58,261.8,262.38
1780336800000,262.26,262.64,261.9,262.195
1780337700000,262.2,262.85,262.195,262.38
1780338600000,262.39,263.11,262.32,262.72
