ts_ms,open,high,low,close
1780272000000,381.74,383.43,380.99,381.28
1780272900000,381.31,381.41,380.75,380.93
1780273800000,380.89,380.97,380.78,380.93
1780274700000,380.93,381.1,380.79,380.79
1780275600000,380.83,381.03,380.53,380.59
1780276500000,380.59,380.77,380.44,380.47
1780277400000,380.44,380.44,379.38,379.46
1780278300000,379.43,379.82,379.33,379.67
1780279200000,379.69,379.97,379.61,379.87
1780280100000,379.86,379.86,379.48,379.53
1780281000000,379.56,379.66,379.37,379.47
1780281900000,379.49,379.81,379.47,379.74
1780282800000,379.73,379.92,379.32,379.33
1780283700000,379.33,379.81,379.16,379.69
1780284600000,379.69,379.83,379.31,379.32
1780285500000,379.32,379.45,379.21,379.31
1780286400000,379.3,379.49,379.25,379.28
1780287300000,379.3,379.49,379.24,379.3
1780288200000,379.3,379.43,379.19,379.4
1780289100000,379.38,379.5,379.24,379.24
1780290000000,379.23,379.44,379.23,379.33
1780290900000,379.3,379.5,379.28,379.3
1780291800000,379.3,379.44,379.15,379.32
1780292700000,379.35,379.46,379.19,379.39
1780293600000,379.4,379.74,379.4,379.74
1780294500000,379.7,379.73,379.4,379.48
1780295400000,379.48,379.6,379.43,379.56
1780296300000,379.53,379.73,379.53,379.67
1780297200000,379.67,380,379.56,379.8
1780298100000,379.79,379.83,379.5,379.52
1780299000000,379.56,379.66,379.26,379.39
1780299900000,379.39,379.72,379.26,379.35
1780300800000,379.51,380.547,378.32,379.51
1780301700000,378.19,378.445,376.87,377.41
1780302600000,377.5,377.805,377.142,377.73
1780303500000,377.39,377.7,376.967,377.7
1780304400000,377.94,378.016,377.665,377.94
1780305300000,378.01,378.1,377.159,377.2
1780306200000,377.28,377.71,377.218,377.28
1780307100000,377.59,378.113,377.537,377.71
1780308000000,378.18,378.3,377.92,378.22
1780308900000,377.86,377.964,377.76,377.78
1780309800000,377.49,378.005,377.021,377.49
1780310700000,377.11,377.684,377.027,377.11
1780311600000,377.81,377.894,376.559,377.01
1780312500000,377.29,377.627,376.926,377.36
1780313400000,377.336,377.654,377.06,377.345
1780314300000,377.46,377.758,377.292,377.75
1780315200000,377.75,377.787,377.358,377.38
1780316100000,377.33,377.516,376.971,376.99
1780317000000,377.43,377.571,376.911,377.37
1780317900000,377.572,377.888,377.325,377.409
1780318800000,377.29,377.462,375.546,375.75
1780319700000,375.78,376.443,375.26,375.26
1780320600000,376.16,377.37,373.575,375.265
1780321500000,375.31,376.245,374.08,375.01
1780322400000,374.95,376.72,374.67,374.68
1780323300000,374.915,376.18,374.53,375.705
1780324200000,375.695,376.42,375.545,376.09
1780325100000,376.095,376.92,375.93,376.43
1780326000000,376.42,377.685,376.3,376.82
1780326900000,375.891,376.08,375.14,375.799
1780327800000,375.791,376.49,375.215,375.236
1780328700000,375.243,375.63,374.78,375.462
1780329600000,375.462,375.78,375.01,375.064
1780330500000,375.057,375.271,374.7,375.068
1780331400000,375.063,375.82,374.88,375.141
1780332300000,375.137,376.15,374.855,376.106
1780333200000,376.098,376.708,375.77,376.35
1780334100000,376.36,378.12,376.328,378.09
1780335000000,378.13,378.47,376.98,378.077
1780335900000,378.072,378.45,375.49,376.298
1780336800000,376.292,376.3,375.95,376.06
1780337700000,376.029,377.49,376.029,377.346
1780338600000,377.347,377.59,377.06,377.549
1780339500000,377.551,377.99,377.55,377.854
1780340400000,377.855,378.38,377.62,377.685
1780341300000,377.682,378.34,377.682,378.327
1780342200000,378.322,378.56,377.15,377.526
1780343100000,377.49,378.1,376.18,376.335
1780344000000,376.344,376.936,376.242,376.659
1780344900000,376.659,376.666,376.35,376.414
1780345800000,376.414,381.23,373.41,373.833
1780346700000,373.84,374.69,366.688,371.445
1780347600000,371.412,372.014,367.99,368.446
1780348500000,368.437,369.761,367.99,368.745
1780349400000,368.733,370.45,368.642,369.168
1780350300000,369.151,369.387,368.675,369.387
1780351200000,369.389,369.606,368.673,368.739
1780352100000,368.75,368.811,368.24,368.405
1780353000000,368.404,369.31,368.335,368.938
1780353900000,368.936,369.143,368.733,369.115
1780354800000,369.115,370.497,369.115,370.497
1780355700000,370.498,371.827,370.432,371.268
1780356600000,371.264,371.716,370.955,371.628
1780357500000,371.615,373.736,371.595,373.339
1780358400000,373.25,373.99,371.85,371.87
1780359300000,371.82,372.06,371.5,372.06
1780360200000,372.06,372.22,371.44,371.54
1780361100000,371.54,371.55,370.63,370.68
1780362000000,370.68,370.98,370.19,370.96
1780362900000,370.94,371.36,370.86,371.02
1780363800000,371.01,371.28,370.32,370.41
1780364700000,370.51,370.7,370.09,370.19
1780365600000,370.17,370.62,370,370.6
1780366500000,370.57,370.98,370.26,370.68
1780367400000,370.7,371.04,370.52,370.79
1780368300000,370.8,371.31,370.79,371.21
1780369200000,371.23,371.34,370.12,370.33
1780370100000,370.5,370.51,369.14,369.2
1780371000000,369.13,370.24,369.12,370.19
1780371900000,370.21,370.22,369.55,369.82
1780372800000,369.87,370.68,369.5,370.26
1780373700000,370.24,370.36,369.95,370.09
1780374600000,370.09,370.14,369.86,370.14
1780375500000,370.14,370.4,369.9,370.03
1780376400000,369.99,370.07,369.24,369.58
1780377300000,369.56,369.56,369.01,369.04
1780378200000,369.05,369.17,368.79,368.87
1780379100000,368.88,368.93,368.58,368.8
1780380000000,368.81,369.17,368.57,368.67
1780380900000,368.74,368.92,368.53,368.57
1780381800000,368.54,369.11,368.48,368.86
1780382700000,368.77,368.95,368.44,368.57
1780383600000,368.58,369.2,368.58,368.77
1780384500000,368.74,368.74,368.27,368.35
1780385400000,368.37,368.49,368.25,368.41
1780386300000,368.41,368.72,368.2,368.54
1780387200000,372.441,372.441,368.7,368.7
1780388100000,368.694,368.694,367.024,367.176
1780389000000,367.168,367.245,366.654,366.788
1780389900000,366.786,367.691,366.31,366.384
1780390800000,366.383,366.652,365.69,365.947
1780391700000,365.948,366.59,365.679,366.329
1780392600000,366.328,366.959,366.326,366.959
1780393500000,366.96,367.293,366.535,366.59
1780394400000,366.64,367.408,366.523,367.126
1780395300000,367.13,367.889,367.04,367.7
1780396200000,367.702,367.718,367.435,367.64
1780397100000,367.642,368.44,367.642,368.295
1780398000000,368.295,368.386,366.76,366.855
1780398900000,366.855,366.864,365.15,365.48
1780399800000,365.484,366.911,365.484,366.684
1780400700000,366.686,366.74,366,366.031
1780401600000,366.035,366.168,365.734,366.056
1780402500000,366.06,366.12,365.55,365.914
1780403400000,365.913,366.177,365.363,365.468
1780404300000,365.467,365.844,365.06,365.129
1780405200000,365.138,365.949,364.49,365.662
1780406100000,365.66,367.243,365.507,366.674
1780407000000,366.66,366.66,358.51,360.1
1780407900000,359.924,363.75,359.16,363.454
1780408800000,363.78,369.06,363.06,368.211
1780409700000,368.215,370.73,366.99,370.399
1780410600000,370.399,372.455,370.19,372.044
1780411500000,372.03,373.5,371.24,372.784
1780412400000,372.75,372.955,369.48,369.901
1780413300000,369.907,370.455,369.47,369.67
1780414200000,369.759,369.759,367.49,367.559
1780415100000,367.554,367.87,366.46,366.574
1780416000000,366.63,367.8,366.14,367.592
1780416900000,367.578,368.01,366.9,367.21
1780417800000,367.243,367.49,366.66,366.85
1780418700000,366.825,368.85,366.74,367.86
1780419600000,367.868,368.235,367.48,367.532
1780420500000,367.532,367.76,366.92,367.353
1780421400000,367.335,368.16,366.975,368.087
1780422300000,368.085,368.34,366.895,367.003
1780423200000,366.96,367.12,366.46,366.718
1780424100000,366.722,366.75,364.24,364.36
1780425000000,364.325,365.34,364.325,364.774
1780425900000,364.78,364.78,363.8,363.983
1780426800000,363.979,364.46,363.5,363.876
1780427700000,363.877,364.175,363.6,363.657
1780428600000,363.659,363.88,362.775,362.898
1780429500000,361.5,361.92,361.365,361.83
1780430400000,361.784,362.5,361.406,362.136
1780431300000,362.134,362.66,361.88,362.137
1780432200000,362.138,362.697,362.106,362.67
1780433100000,362.668,362.98,362.635,362.678
1780434000000,362.676,363.244,362.577,363.215
1780434900000,363.217,363.545,363.007,363.33
1780435800000,363.331,364.27,363.286,363.968
1780436700000,363.964,364.33,363.81,364.024
1780437600000,364.024,364.329,363.77,364.204
1780438500000,364.218,364.414,364.045,364.045
1780439400000,364.045,364.045,363.894,364.027
1780440300000,364.028,364.326,363.25,363.25
1780441200000,363.249,363.315,362.954,362.966
1780442100000,362.966,363.053,362.254,362.331
1780443000000,362.331,362.4,361.89,362.167
1780443900000,362.161,362.377,361.492,362.356
1780444800000,361.99,363.02,361.55,362.91
1780445700000,362.91,364.21,362.6,364.17
1780446600000,364.17,364.19,363.77,363.84
1780447500000,363.83,363.86,363.52,363.57
1780448400000,363.57,363.57,362.91,363.22
1780449300000,363.22,363.52,363.03,363.03
1780450200000,363.05,363.48,362.89,363
1780451100000,362.99,363.42,362.68,363.34
1780452000000,363.34,363.71,363.21,363.68
1780452900000,363.68,363.8,363.36,363.54
1780453800000,363.54,363.85,363.47,363.73
1780454700000,363.8,363.83,363.52,363.81
1780455600000,363.81,363.82,363.39,363.69
1780456500000,363.72,364.05,363.62,363.87
1780457400000,363.9,363.98,363.81,363.9
1780458300000,363.89,364.03,363.69,364.02
1780459200000,364.03,364.52,364.03,364.46
1780460100000,364.46,364.5,364.08,364.16
1780461000000,364.16,364.22,363.84,363.84
1780461900000,363.89,363.92,363.57,363.59
1780462800000,363.58,363.83,363.45,363.67
1780463700000,363.69,363.95,363.65,363.78
1780464600000,363.76,363.85,363.48,363.49
1780465500000,363.46,363.51,362.81,362.83
1780466400000,362.81,363.22,362.51,362.51
1780467300000,362.56,363,362.37,362.98
1780468200000,362.94,363.3,362.82,363.12
1780469100000,363.12,363.27,363,363.24
1780470000000,363.25,363.85,363.2,363.76
1780470900000,363.75,363.78,363.28,363.35
1780471800000,363.36,363.58,363.3,363.58
1780472700000,363.58,363.75,363.39,363.52
