ts_ms,open,high,low,close
1780272000000,634.74,634.99,632.49,633.32
1780272900000,633.31,634.71,632.89,634.17
1780273800000,634.54,635.02,634.13,634.97
1780274700000,634.95,635.49,634.74,635.41
1780275600000,635.4,636.99,635.4,636.09
1780276500000,636.19,637.19,636.15,636.72
1780277400000,636.78,637.51,636.46,637.16
1780278300000,637.29,637.49,636.63,636.63
1780279200000,636.63,637.01,636.59,636.98
1780280100000,636.99,636.99,636.61,636.83
1780281000000,636.66,636.69,635.53,635.85
1780281900000,635.62,636.42,635.61,635.79
1780282800000,635.83,635.96,635.46,635.46
1780283700000,635.49,635.52,635.01,635.39
1780284600000,635.42,635.65,635.1,635.14
1780285500000,635.16,635.31,635.09,635.12
1780286400000,635.12,635.27,634.76,634.93
1780287300000,634.92,635.02,634.72,634.94
1780288200000,634.93,635.3,634.79,635.12
1780289100000,635.19,635.38,635.09,635.2
1780290000000,635.21,635.38,634.88,635.19
1780290900000,635.21,635.26,634.87,634.89
1780291800000,635,635.22,634.8,634.99
1780292700000,634.99,635.32,634.98,635.25
1780293600000,635.29,635.35,635.14,635.14
1780294500000,635.23,635.23,634.81,634.86
1780295400000,634.87,634.99,634.57,634.73
1780296300000,634.76,634.88,634.74,634.76
1780297200000,634.76,634.89,634.51,634.55
1780298100000,634.54,635.2,634.11,634.13
1780299000000,634.16,634.32,633.5,633.78
1780299900000,633.77,633.83,632.88,632.95
1780300800000,633.22,633.84,632.265,633.58
1780301700000,633.41,633.85,633.41,633.41
1780302600000,633.6,633.6,633.065,633.6
1780303500000,633.01,633.065,632.29,632.29
1780304400000,632.875,632.875,632.32,632.4
1780305300000,632.4,632.4,631.226,631.725
1780306200000,631.725,631.725,631.605,631.705
1780307100000,631.81,632,631.695,631.81
1780308000000,631.83,632.325,631.775,631.83
1780308900000,631.912,632.19,631.786,632.19
1780309800000,632.19,632.425,631.805,631.86
1780310700000,631.86,632.05,631.52,632.05
1780311600000,633.86,634.798,632.054,633.86
