ts_ms,open,high,low,close
1780272000000,456.52,468.01,452,464.76
1780272900000,464.97,465.27,462.31,463.81
1780273800000,463.99,463.99,461.49,461.49
1780274700000,461.49,461.78,459.01,459.1
1780275600000,459.05,460.1,456.55,459.15
1780276500000,459.21,460.01,457.84,457.84
1780277400000,457.84,460.68,457.8,459.22
1780278300000,459.22,460.06,459.12,460.01
1780279200000,460,460.01,459.46,459.93
1780280100000,459.92,459.94,459.35,459.69
1780281000000,459.69,459.97,458.3,458.31
1780281900000,458.31,459.66,458.31,459.45
1780282800000,459.46,459.83,458.79,458.86
1780283700000,458.84,459.27,458.47,458.96
1780284600000,458.96,459.7,458.57,459.12
1780285500000,459.12,459.42,458.65,459.01
1780286400000,458.99,460,458.84,459.88
1780287300000,459.88,462.99,459.58,462.67
1780288200000,462.68,463.29,461.81,462.63
1780289100000,462.64,464.54,462.39,464.5
1780290000000,464.54,464.69,462.79,462.79
1780290900000,462.9,463.74,462.53,462.69
1780291800000,462.71,463.02,462.31,462.46
1780292700000,462.47,462.72,460.14,460.92
1780293600000,460.83,461.94,460.52,460.52
1780294500000,460.54,460.88,459.49,460.5
1780295400000,460.5,460.87,460.21,460.54
1780296300000,460.54,460.54,459.83,460.16
1780297200000,460.16,460.79,459.05,459.22
1780298100000,459.24,459.83,458.65,459.38
1780299000000,459.38,459.55,458.49,458.78
1780299900000,458.82,459.15,458.3,459.06
1780300800000,458.56,460.775,451.324,459.99
1780301700000,460.98,463.284,460.31,462.99
1780302600000,462.55,463.31,461.925,463.11
1780303500000,463.03,463.389,462.161,463.22
1780304400000,462.86,463.987,462.301,463.69
1780305300000,462.97,465.623,462.962,465
1780306200000,463.3,465.135,462.258,462.29
1780307100000,464.02,464.158,462.894,463.66
1780308000000,464.01,464.643,463.059,464.27
1780308900000,464.58,465.378,464.094,465.36
1780309800000,465.33,465.33,464.155,464.74
1780310700000,464.57,466.129,464.155,465.62
1780311600000,464.51,468.55,464.32,467.41
1780312500000,467.95,470.393,466.712,470.24
1780313400000,470.2,472,468.5,469.51
1780314300000,469.51,470.86,468.922,469
1780315200000,468.3,469.457,466.188,466.99
1780316100000,467.36,467.832,466.233,466.8
1780317000000,466.36,468.51,466.36,467.51
1780317900000,467.19,467.665,464.929,465.33
1780318800000,465,465.78,463.285,463.74
1780319700000,463.41,465.251,460,465.24
1780320600000,464.83,465.73,459.01,463.045
1780321500000,463.07,465.42,460.98,464.67
1780322400000,464.785,466.28,460.23,460.84
1780323300000,460.89,462.73,460.255,461.805
1780324200000,461.805,461.81,459.2,461.555
1780325100000,461.615,463.2,460.175,463.19
1780326000000,463.19,463.4,459.24,461.11
1780326900000,461.15,462.205,460.225,460.585
1780327800000,461.825,463.89,461.17,461.289
1780328700000,461.295,461.81,460.35,460.522
1780329600000,460.47,461.15,459.22,460.624
1780330500000,460.535,461.8,459.28,461.683
1780331400000,461.688,462.41,461.43,462.093
1780332300000,462.092,462.44,461.545,461.96
1780333200000,461.914,462.175,460.58,460.724
1780334100000,460.735,461.05,459.61,460.307
1780335000000,460.3,460.525,458.61,459.299
1780335900000,459.17,460.11,458.31,459.975
1780336800000,460.005,461.67,459.59,461.089
1780337700000,461.087,461.38,460.32,460.858
1780338600000,460.858,461.195,460.52,461.033
1780339500000,461.027,461.29,460.11,460.974
1780340400000,460.966,462.4,460.76,462.332
1780341300000,462.331,464.075,462.33,463.789
1780342200000,463.786,464.135,462.32,462.384
1780343100000,462.32,462.46,460.035,460.525
1780344000000,460.535,460.731,459.353,459.875
1780344900000,459.86,460.11,458.957,459.261
1780345800000,459.263,459.879,459.2,459.601
1780346700000,459.613,459.634,455.501,455.929
1780347600000,455.929,455.985,454.586,455.386
1780348500000,455.386,455.673,454.26,454.689
1780349400000,454.685,454.945,453.182,453.234
1780350300000,453.235,454.593,452.52,454.341
1780351200000,454.344,454.624,453.21,453.724
1780352100000,453.721,453.721,452.313,452.321
1780353000000,452.327,452.695,451.838,451.981
1780353900000,451.98,452.87,451.528,452.87
1780354800000,452.878,453.049,452.406,452.406
1780355700000,452.405,452.461,450.614,450.635
1780356600000,450.654,451.933,450.377,451.6
1780357500000,451.6,452.374,451.35,452.352
1780358400000,452.73,452.93,451.56,451.57
1780359300000,451.57,451.79,450.35,451.07
1780360200000,451.05,452.05,450.9,451.7
1780361100000,451.69,451.69,450.83,451.33
1780362000000,451.22,451.79,451.01,451.6
1780362900000,451.6,451.76,451.14,451.14
1780363800000,451.21,451.51,451,451.16
1780364700000,451.15,451.18,450.49,450.64
1780365600000,450.61,450.99,450.37,450.5
1780366500000,450.54,450.96,450.46,450.79
1780367400000,450.8,451.35,450.8,451.1
1780368300000,451.1,451.45,450.82,451.34
1780369200000,451.38,451.64,451.01,451.19
1780370100000,451.24,451.25,450.63,450.66
1780371000000,450.69,451.3,450.49,450.87
1780371900000,450.92,451.27,450.92,451.06
1780372800000,451.06,451.25,450.62,450.72
1780373700000,450.71,450.94,450.68,450.84
1780374600000,450.93,450.96,450.58,450.82
1780375500000,450.82,451.07,450.34,450.52
1780376400000,450.52,451.25,450.52,451.23
1780377300000,451.26,451.78,450.89,451.67
1780378200000,451.79,452,451.4,451.6
1780379100000,451.6,451.6,451.22,451.52
1780380000000,451.52,452.32,451.52,452.2
1780380900000,452.22,452.8,452.22,452.79
1780381800000,452.65,454.16,452.29,454.13
1780382700000,454.13,454.16,453.62,454.01
1780383600000,454.02,454.78,453.49,454.21
1780384500000,454.22,455.66,454.13,455.3
1780385400000,455.22,455.38,454.33,455.25
1780386300000,455.08,455.66,454.34,454.34
1780387200000,452.346,455.337,451.586,453.251
1780388100000,453.24,453.24,451.74,452.1
1780389000000,452.1,452.44,451.2,451.685
1780389900000,451.685,452.95,451.644,452.389
1780390800000,452.399,452.875,451.915,452.044
1780391700000,452.045,452.185,451.005,451.132
1780392600000,451.131,451.492,450.795,451.2
1780393500000,451.2,451.499,450.211,450.312
1780394400000,450.32,450.675,449.055,449.869
1780395300000,449.86,450.297,448,448.824
1780396200000,448.83,449.688,447.641,449.645
1780397100000,449.646,450.244,449.55,449.632
1780398000000,449.681,450.099,448.734,448.918
1780398900000,448.915,448.915,447.718,448.233
1780399800000,448.232,448.894,447.701,448.099
1780400700000,448.145,449.405,447.822,448.252
1780401600000,448.253,449.194,448.25,448.681
1780402500000,448.692,448.734,447.311,447.375
1780403400000,447.375,447.449,446.208,447.128
1780404300000,447.127,447.176,445.29,446.068
1780405200000,446.061,447.098,445.337,446.691
1780406100000,446.68,447.43,445.254,447.195
1780407000000,447.075,453.48,444.07,445.969
1780407900000,446.15,447.065,443.54,444.963
1780408800000,445.27,447.3,444.56,446.919
1780409700000,446.922,447.9,443.81,444.225
1780410600000,444.229,445.19,442.78,443.149
1780411500000,443.146,444.06,442.92,443.659
1780412400000,443.66,444.23,442.36,442.829
1780413300000,442.79,443.84,442.39,443.557
1780414200000,443.556,444.59,443.25,444.325
1780415100000,444.329,444.67,443.18,443.874
1780416000000,443.88,444.605,443.44,444.265
1780416900000,444.261,446.18,444.01,445.85
1780417800000,445.842,445.842,442.81,442.852
1780418700000,442.76,443.86,442.48,443.757
1780419600000,443.742,445.32,443.59,445.303
1780420500000,445.308,445.47,443.675,444.461
