ts_ms,open,high,low,close
1780272000000,213.77,215,213.13,214
1780272900000,214.06,214.7,214.04,214.67
1780273800000,214.67,214.91,214.58,214.89
1780274700000,214.89,215.41,214.89,215.08
1780275600000,215.09,215.09,214.66,214.79
1780276500000,214.79,215,214.4,214.67
1780277400000,214.67,214.76,214.5,214.66
1780278300000,214.68,214.94,214.64,214.88
1780279200000,214.89,214.9,214.5,214.57
1780280100000,214.58,214.95,214.51,214.75
1780281000000,214.78,215.09,214.72,214.9
1780281900000,214.87,215.18,214.84,215.07
1780282800000,215.08,215.4,215.07,215.14
1780283700000,215.13,215.24,214.83,215.07
1780284600000,215.07,215.29,214.81,214.99
1780285500000,214.99,215.97,214.99,215.97
1780286400000,215.96,217,215.91,216.54
1780287300000,216.56,216.68,216.04,216.48
1780288200000,216.48,217.18,216.46,217.18
1780289100000,217.18,217.3,216.77,216.94
1780290000000,216.91,217,216.56,216.78
1780290900000,216.78,216.88,216.45,216.45
1780291800000,216.48,216.55,215.89,216.18
1780292700000,216.22,216.33,216.09,216.18
1780293600000,216.16,216.29,215.95,216.04
1780294500000,216.05,216.06,215.29,215.31
1780295400000,215.3,215.72,215.09,215.56
1780296300000,215.56,215.9,215.44,215.9
1780297200000,215.89,216.41,215.81,216.37
1780298100000,216.37,216.46,215.84,216.06
1780299000000,216.1,216.3,215.66,215.72
1780299900000,215.76,216.19,215.64,216.03
1780300800000,213.053,215.89,213.053,214.903
1780301700000,214.901,215.225,214.72,214.836
1780302600000,214.837,214.837,214.379,214.488
1780303500000,214.485,215.254,214.32,215.205
1780304400000,215.205,215.71,215.01,215.094
1780305300000,215.095,215.501,214.769,214.978
1780306200000,214.975,215.29,214.801,215.036
1780307100000,215.033,215.044,214.47,214.62
1780308000000,214.615,215.155,214.468,215.155
1780308900000,215.156,215.423,215.01,215.163
1780309800000,215.162,216.247,215.156,216.238
1780310700000,216.237,216.31,215.8,216.011
1780311600000,216.01,216.12,215.445,215.673
1780312500000,215.666,216,215.617,215.957
1780313400000,215.956,216.624,215.915,216.545
1780314300000,216.553,216.585,215.72,215.77
1780315200000,215.77,215.959,215.69,215.691
1780316100000,215.698,215.99,215.69,215.82
1780317000000,215.816,216.29,215.7,216.1
1780317900000,216.1,216.41,216.061,216.061
1780318800000,216.06,216.5,215.48,215.851
1780319700000,215.857,216.27,215.15,215.689
1780320600000,215.79,220.76,215.708,219.11
1780321500000,219.068,220.82,218.88,219.15
1780322400000,219.155,220.91,218.54,220.61
1780323300000,220.59,222.18,220.52,221.37
1780324200000,221.387,222.1,220.25,220.478
1780325100000,220.476,220.91,219.32,219.661
1780326000000,219.625,219.85,218.98,219.104
1780326900000,219.103,220.29,218.99,219.39
1780327800000,219.39,220.65,219.35,220.12
1780328700000,220.077,220.3,219.575,219.654
1780329600000,219.64,220.54,219.64,220.406
1780330500000,220.38,222.36,220.38,221.96
1780331400000,221.976,222.39,220.97,221.443
1780332300000,221.465,222.32,221.19,222.1
1780333200000,222.13,222.25,221.5,221.687
1780334100000,221.692,222,221.36,221.96
1780335000000,221.97,223.39,221.55,223.13
1780335900000,223.124,224.02,222.87,223.532
1780336800000,223.53,224.46,223.08,223.173
1780337700000,223.179,224.65,223.15,224.612
1780338600000,224.615,224.8,224.044,224.523
1780339500000,224.528,224.76,223.765,224.01
1780340400000,224.007,224.86,224.001,224.698
1780341300000,224.701,224.705,223.67,223.99
1780342200000,223.99,224.05,223.18,223.583
1780343100000,223.56,224.42,222.48,224.41
1780344000000,224.342,224.86,224.266,224.545
1780344900000,224.537,224.625,224.127,224.353
1780345800000,224.355,224.557,224.3,224.324
1780346700000,224.323,224.79,224.207,224.41
1780347600000,224.408,224.84,224.237,224.325
1780348500000,224.325,224.343,224.136,224.231
1780349400000,224.231,224.5,224.177,224.452
1780350300000,224.451,224.99,224.362,224.876
1780351200000,224.877,224.882,224.253,224.675
1780352100000,224.675,224.76,224.451,224.473
1780353000000,224.474,224.537,223.946,224.022
1780353900000,224.022,224.198,223.558,224.076
1780354800000,224.076,224.131,223.798,223.798
1780355700000,223.795,223.932,223.588,223.85
1780356600000,223.85,224.158,223.845,223.97
1780357500000,223.97,224.094,223.83,223.952
1780358400000,223.949,224.18,222.59,222.8
1780359300000,222.8,222.97,222.44,222.81
1780360200000,222.78,223.12,221.89,222.2
1780361100000,222.21,222.22,220.87,221.39
1780362000000,221.46,222.62,221.42,222.53
1780362900000,222.52,222.53,221.98,222.07
1780363800000,222.2,222.89,222.07,222.82
1780364700000,222.84,222.91,222.11,222.36
1780365600000,222.32,222.8,221.97,222.36
1780366500000,222.36,222.59,222.31,222.51
1780367400000,222.52,223.03,222.46,222.87
1780368300000,222.87,223.02,222.62,222.84
1780369200000,222.84,222.94,222.24,222.48
1780370100000,222.45,222.62,222.24,222.44
1780371000000,222.44,222.65,222.26,222.65
1780371900000,222.62,222.65,222.34,222.5
1780372800000,222.55,222.77,222.44,222.5
1780373700000,222.47,223,222.43,222.96
1780374600000,222.98,223.57,222.89,223.57
1780375500000,223.57,225.56,223.44,224.69
1780376400000,224.69,225.23,224.47,225.21
1780377300000,225.18,225.22,224.67,224.8
1780378200000,224.79,225.2,224.78,224.85
1780379100000,224.85,224.99,224.52,224.95
1780380000000,224.94,225.03,224.69,224.91
1780380900000,224.9,225.05,224.88,224.97
1780381800000,224.98,225.82,224.81,225.74
1780382700000,225.78,226.29,225.62,226.15
1780383600000,226.19,226.31,225.4,225.49
1780384500000,225.48,225.77,225.23,225.51
1780385400000,225.52,225.73,225.39,225.64
1780386300000,225.64,225.64,224.75,225.07
1780387200000,223.936,227.54,223.935,227.002
1780388100000,227.003,227.569,226.955,227.233
1780389000000,227.225,227.659,227.201,227.333
1780389900000,227.328,227.431,226.82,226.94
1780390800000,226.943,227.553,226.578,227.534
