ts_ms,open,high,low,close
1780272000000,740.47,741.47,739.8,741.22
1780272900000,741.17,741.99,740.77,741.98
1780273800000,742,742.12,741.53,741.97
1780274700000,741.98,742.2,741.81,741.92
1780275600000,741.92,742.03,741.46,741.65
1780276500000,741.63,742.13,741.63,741.76
1780277400000,741.67,742.05,741.59,741.84
1780278300000,741.84,742.16,741.73,742.04
1780279200000,742.03,742.51,742.03,742.47
1780280100000,742.47,742.59,742.29,742.43
1780281000000,742.37,742.46,742.06,742.18
1780281900000,742.1,742.19,741.98,742.12
1780282800000,742.16,742.51,742.16,742.41
1780283700000,742.43,742.76,741.87,742.7
1780284600000,742.76,743.19,742.23,742.28
1780285500000,742.22,742.52,741.85,741.97
1780286400000,742.05,742.47,741.99,742.34
1780287300000,742.32,742.5,742.1,742.4
1780288200000,742.42,742.88,742.16,742.85
1780289100000,742.85,742.85,742.59,742.66
1780290000000,742.68,742.85,742.37,742.6
1780290900000,742.61,742.79,742.15,742.25
1780291800000,742.28,742.71,742.21,742.7
1780292700000,742.7,743.1,742.65,742.78
1780293600000,742.84,743.09,742.68,742.75
1780294500000,742.76,742.81,742.3,742.31
1780295400000,742.42,742.87,742.35,742.58
1780296300000,742.58,743.03,742.58,742.82
1780297200000,742.78,743.1,742.54,742.64
1780298100000,742.58,742.64,741.29,741.47
1780299000000,741.51,741.7,740.64,740.98
1780299900000,740.94,741.26,740.74,741.25
1780300800000,741.15,741.241,738.441,740.51
1780301700000,740.27,740.404,739.846,740.01
1780302600000,740.18,740.376,739.613,740.32
1780303500000,740.41,740.893,740.05,740.88
1780304400000,741,741.21,740.513,740.77
1780305300000,740.58,740.803,740.26,740.34
1780306200000,740.27,740.334,740.111,740.3
1780307100000,739.82,740.31,739.82,739.97
1780308000000,740.16,740.539,739.849,740.47
1780308900000,740.41,740.637,740.142,740.43
1780309800000,740.87,741.009,740.581,740.87
1780310700000,740.95,741.014,740.718,740.84
1780311600000,740.43,740.755,740.015,740.21
1780312500000,740.15,740.215,739.795,739.94
1780313400000,739.96,740.875,739.79,740.52
1780314300000,740.56,740.659,740,740
1780315200000,740.02,740.027,739.02,739.02
1780316100000,739.31,739.896,738.94,739.71
1780317000000,739.65,740.6,739.363,740.6
1780317900000,740.59,740.755,739.63,739.65
1780318800000,739.729,739.84,736.68,737.171
1780319700000,737.031,737.031,737.031,737.031
1780320600000,737.06,740.01,736.3,738.896
1780321500000,738.879,740.1,736.305,736.38
1780322400000,736.33,738.13,735.99,737.555
1780323300000,737.43,739.07,737.15,738.165
1780324200000,738.157,739.295,737.87,739.104
1780325100000,739.102,739.72,738.77,739.401
1780326000000,739.49,739.93,738.98,739.697
1780326900000,739.704,740.72,739.704,740.558
1780327800000,740.51,742.26,740.51,741.844
1780328700000,740.98,740.98,740.98,740.98
1780329600000,741.05,741.81,740.28,740.635
1780330500000,740.622,741.26,739.86,741.236
1780331400000,741.245,741.96,741.245,741.55
1780332300000,741.54,743,741.18,742.932
1780333200000,743,743,741.927,742.193
1780334100000,743.074,743.074,743.074,743.074
1780335000000,743.49,745.49,742.7,744.632
1780335900000,744.633,745.63,744.633,745.133
1780336800000,745.13,745.19,744.135,744.208
1780337700000,744.213,744.715,744.06,744.536
1780338600000,744.535,744.7,744.18,744.422
1780339500000,744.421,744.47,743.77,744.012
1780340400000,744.004,744.52,743.725,744.157
1780341300000,744.154,744.17,743.847,744.02
1780342200000,744.008,744.008,743.04,743.166
1780343100000,743.13,743.27,742.35,742.71
1780344000000,742.609,742.669,742.13,742.367
1780344900000,742.356,742.356,741.979,742.075
1780345800000,742.075,742.69,741.977,742.279
1780346700000,742.283,742.29,741.2,741.638
1780347600000,741.635,741.91,741.486,741.88
1780348500000,741.878,742.01,741.875,741.99
1780349400000,741.99,742.098,741.671,741.875
1780350300000,741.875,741.975,741.455,741.966
1780351200000,741.965,741.992,739.99,740.484
1780352100000,740.479,740.691,739.908,739.941
1780353000000,739.936,740.088,739.578,739.672
1780353900000,739.674,740.037,739.432,740.037
1780354800000,740.038,740.15,739.781,739.952
1780355700000,739.945,740.145,739.859,740.015
1780356600000,740.013,740.321,739.752,740.024
1780357500000,740.025,740.27,739.68,740.234
1780358400000,740.242,740.283,738.77,738.89
1780359300000,738.88,739.43,738.14,738.69
1780360200000,738.83,739.23,738.21,738.43
1780361100000,738.51,738.55,737.73,737.93
1780362000000,737.97,738.63,737.67,738.5
1780362900000,738.57,738.61,737.46,738.03
1780363800000,738.12,738.41,737.6,738.01
1780364700000,737.89,737.92,737.03,737.07
1780365600000,737.06,737.36,736.79,737.21
1780366500000,737.17,737.89,737,737.57
1780367400000,737.6,738.25,737.6,737.97
1780368300000,738.03,738.2,737.77,738.01
1780369200000,737.99,738.21,737.24,737.39
1780370100000,737.43,737.55,736.68,736.82
1780371000000,736.84,737.41,736.66,737.23
1780371900000,737.29,737.81,737.29,737.81
1780372800000,737.71,738.41,737.7,738.05
1780373700000,738.09,738.89,737.99,738.73
1780374600000,738.68,739,738.52,739
1780375500000,738.92,739.74,738.86,739.67
1780376400000,739.69,740.3,739.38,740.3
1780377300000,740.26,740.48,740,740.39
1780378200000,740.45,740.95,740.4,740.66
1780379100000,740.64,740.71,740.07,740.53
1780380000000,740.55,740.86,740.38,740.65
1780380900000,740.74,741.16,740.66,740.81
1780381800000,740.7,741.26,740.41,741.04
1780382700000,741.02,741.52,740.96,741.35
1780383600000,741.56,742.11,741.31,741.95
1780384500000,741.9,742.25,741.73,741.87
1780385400000,741.84,742.01,741.63,741.82
