ts_ms,open,high,low,close
1780272000000,758.42,758.42,756.79,757.88
1780272900000,757.89,758.21,757.72,758.15
1780273800000,758.15,758.32,757.99,758.15
1780274700000,758.19,758.37,758.14,758.18
1780275600000,758.18,758.27,757.8,758.08
1780276500000,758.07,758.33,757.98,758.16
1780277400000,758.09,758.35,758.08,758.32
1780278300000,758.32,758.5,758.26,758.41
1780279200000,758.43,758.75,758.43,758.74
1780280100000,758.72,758.84,758.66,758.66
1780281000000,758.73,758.75,758.53,758.55
1780281900000,758.57,758.63,758.47,758.63
1780282800000,758.61,758.76,758.54,758.54
1780283700000,758.56,758.81,758.18,758.81
1780284600000,758.83,758.95,758.3,758.34
1780285500000,758.33,758.5,758.19,758.28
1780286400000,758.32,758.61,758.32,758.48
1780287300000,758.47,758.61,758.37,758.48
1780288200000,758.52,758.77,758.45,758.76
1780289100000,758.78,758.8,758.68,758.76
1780290000000,758.75,758.8,758.57,758.73
1780290900000,758.73,758.78,758.46,758.46
1780291800000,758.49,758.79,758.49,758.78
1780292700000,758.78,758.9,758.73,758.82
1780293600000,758.87,758.94,758.7,758.74
1780294500000,758.7,758.8,758.49,758.49
1780295400000,758.49,758.75,758.49,758.71
1780296300000,758.68,758.91,758.6,758.77
1780297200000,758.77,759.08,758.7,758.84
1780298100000,758.88,758.88,758.3,758.33
1780299000000,758.37,758.43,757.83,757.97
1780299900000,757.96,758.24,757.84,758.22
1780300800000,756.114,758.269,756.114,758.037
1780301700000,758.038,758.07,757.824,757.866
1780302600000,757.85,757.989,757.694,757.95
1780303500000,758.17,758.443,757.77,758.17
1780304400000,758.5,758.68,758.262,758.39
1780305300000,758.43,758.438,758.201,758.205
1780306200000,758.24,758.352,758.22,758.24
1780307100000,758.23,758.301,757.991,758.1
1780308000000,758.42,758.496,758.059,758.42
1780308900000,758.58,758.58,758.313,758.58
1780309800000,758.73,758.819,758.515,758.7
1780310700000,758.72,758.74,758.56,758.69
1780311600000,758.68,758.72,758.462,758.52
1780312500000,758.54,758.715,758.45,758.53
1780313400000,758.86,759.207,758.601,758.95
1780314300000,759,759.011,758.46,758.55
1780315200000,758.34,758.46,757.892,757.99
1780316100000,757.97,758.184,757.746,758.13
1780317000000,757.97,758.45,757.758,758.45
1780317900000,758.5,758.539,757.871,758.24
1780318800000,757.88,758.037,755.45,755.95
1780319700000,755.88,756.53,754.73,755.31
1780320600000,755.56,756.6,754.73,756.25
1780321500000,756.27,756.72,755.54,755.62
1780322400000,755.56,756.46,755.32,755.93
1780323300000,756.05,756.71,755.76,755.88
1780324200000,755.87,756.13,755.28,755.81
1780325100000,755.85,755.98,755.33,755.66
1780326000000,755.7,756.23,755.48,755.93
1780326900000,755.925,756.4,755.82,756.16
1780327800000,756.24,757.42,756.189,757.355
1780328700000,757.215,757.29,756.68,756.72
1780329600000,756.71,757.22,756.3,756.527
1780330500000,756.51,756.82,755.89,756.772
1780331400000,756.79,757.29,756.782,757.059
1780332300000,757.06,758,756.85,757.936
1780333200000,757.97,757.99,757.03,757.314
1780334100000,757.32,758.55,757.15,757.875
1780335000000,758.55,760.26,757.74,759.443
1780335900000,759.5,759.96,759.447,759.574
1780336800000,759.56,759.77,759.32,759.375
1780337700000,759.38,759.89,759.35,759.828
1780338600000,759.82,759.87,759.54,759.846
1780339500000,759.847,759.849,759.435,759.556
1780340400000,759.515,759.71,759.38,759.474
1780341300000,759.473,759.74,759.39,759.687
1780342200000,759.68,759.681,758.88,759.01
1780343100000,759,759.1,758.12,758.43
