ts_ms,open,high,low,close
1780272000000,435.74,437.5,434.25,434.25
1780272900000,434.31,435.61,434.31,435.59
1780273800000,435.56,435.56,434.49,434.49
1780274700000,434.58,434.71,433.89,434.3
1780275600000,434.35,434.41,433.17,433.17
1780276500000,433.2,433.68,433.01,433.01
1780277400000,433.01,433.11,432,432.04
1780278300000,432.07,432.99,432.05,432.88
1780279200000,432.88,433.51,432.84,433.29
1780280100000,433.33,433.33,432.45,432.71
1780281000000,432.71,433.09,432.68,432.72
1780281900000,432.69,432.87,432.41,432.6
1780282800000,432.71,432.94,432.7,432.74
1780283700000,432.77,433.02,432.4,433
1780284600000,432.96,433.47,432.45,432.45
1780285500000,432.47,432.55,432.11,432.12
1780286400000,432.11,432.56,432.08,432.43
1780287300000,432.42,432.44,431.61,431.69
1780288200000,431.62,432.18,431.26,432.12
1780289100000,432.1,432.1,431.21,431.36
1780290000000,431.44,431.93,431.26,431.85
1780290900000,431.91,431.91,431.08,431.13
1780291800000,431.14,431.32,431.01,431.06
1780292700000,431.08,431.62,430.99,431.6
1780293600000,431.61,431.78,431.06,431.38
1780294500000,431.4,431.8,431.28,431.54
1780295400000,431.52,431.97,431.51,431.7
1780296300000,431.7,432.06,431.51,431.64
1780297200000,431.59,431.59,431.3,431.44
1780298100000,431.42,431.45,430.75,430.75
1780299000000,430.79,430.91,430.6,430.81
1780299900000,430.8,431.59,430.68,431.59
1780300800000,431.58,432.56,430.6,431.58
1780301700000,430.71,431.08,429.99,429.99
1780302600000,430.32,430.7,430.03,430.32
1780303500000,430.3,430.95,430.08,430.87
1780304400000,431.26,431.76,430.68,430.8
1780305300000,430.49,430.8897,429.5,429.99
1780306200000,429.37,429.83,429.16,429.2
1780307100000,429.16,429.5,428.88,429.21
1780308000000,429.84,430.49,429.4,430.24
1780308900000,430.31,430.71,430.15,430.43
1780309800000,430.58,430.97,430.46,430.97
1780310700000,430.9,430.95,430.61,430.61
1780311600000,430.89,431.52,429.55,429.98
1780312500000,429.71,430.01,429.25,429.32
1780313400000,430.01,430.15,429.31,430.01
1780314300000,429.96,430.09,429.4,429.57
1780315200000,430,436.879,429.35,429.48
1780316100000,429.29,429.85,429.03,429.73
1780317000000,429.65,430.29,429.2575,430.15
1780317900000,429.49,430.15,429.3101,429.39
1780318800000,429.5,430,427.774,428.06
1780319700000,428.36,429.29,427.21,427.76
1780320600000,427.53,429.6,422.6401,425.96
1780321500000,425.74,426.9,422.91,422.97
1780322400000,422.965,424.86,422.06,422.14
1780323300000,422.1,423.67,421.2,421.68
1780324200000,421.59,422.11,420.1,422.02
1780325100000,422.01,422.17,418.65,419.4
1780326000000,419.51,421.7,419.38,421.03
1780326900000,421.11,422.29,420.35,421.93
1780327800000,421.91,424.1,421.87,422.9
1780328700000,422.92,423.25,420.81,420.99
1780329600000,421.12,422.0691,419.3301,419.47
1780330500000,419.47,420.36,418.35,418.8
1780331400000,418.81,420.8,418.76,420.065
1780332300000,420.12,421.26,419.3601,420.91
1780333200000,420.88,420.93,419.5701,420.21
1780334100000,420.27,420.98,419.52,420.94
1780335000000,421.01,421.71,419.56,420.99
1780335900000,420.97,421.556,420.271,420.43
1780336800000,420.395,420.96,420.03,420.06
1780337700000,420.085,420.62,419.755,420.175
1780338600000,420.18,420.19,419.22,419.675
1780339500000,419.61,419.79,418.99,419.14
1780340400000,419.07,419.26,418.08,418.2
1780341300000,418.13,419.2999,418.0801,418.24
1780342200000,418.265,418.46,415.71,416.765
1780343100000,416.73,417.47,415.43,415.54
1780344000000,415.9,417.18,415.23,415.99
1780344900000,415.93,416.36,415.61,416.16
1780345800000,416.21,416.25,415.6,415.81
